"時間","場所名","住所","該当ページURL","充電場所HP","充電器タイプ","利用可能時間","充電器タイプ","充電器出力","ビジター料金","その他","充電器総数","利用可能","利用中","故障中","休止中","未使用"
02/10/25 10:36,アリオ札幌　急速　立体駐車場４Ｆ,北海道札幌市東区北７条東９－２－２０,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,09:00 ～ 22:00,CHAdeMO,最大20kW,最初の5分まで82.5円、以降1分毎に16.5円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
02/10/25 10:36,セイコーマート前田５条店,北海道札幌市手稲区前田５条１５丁目７−２５,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大20kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
02/10/25 10:36,セイコーマート大麻ひかり町店,北海道江別市大麻ひかり町１７−１５,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大20kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
02/10/25 10:36,セイコーマート屯田８条８丁目店,北海道札幌市北区屯田８条８丁目１４−２５,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大20kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
02/10/25 10:36,セイコーマート東苗穂８条店,北海道札幌市東区東苗穂８条２丁目３－５５,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大20kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
02/10/25 10:37,ファミリーマート北野通店,北海道札幌市清田区北野２条１丁目１４−１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大20kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
02/10/25 10:37,ファミリーマート月寒東５条店,北海道札幌市豊平区月寒東５条７丁目４ー１３,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大30kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
02/10/25 10:37,ファミリーマート石狩花川北１条店,北海道石狩市花川北１条６丁目６－１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大20kW,最初の5分まで275円、以降1分毎に55円,,1,0台利用できます,0台利用中です,1台休止中です,北海道,札幌市中央区
02/10/25 10:37,プリンス札幌　川下支店,北海道札幌市白石区川下４条３丁目４番１０号,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
02/10/25 10:37,プリンス札幌　新琴似支店,北海道札幌市北区新琴似７条１６丁目４番１５号,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,北海道,札幌市中央区
